  57.737  57.734  57.732  57.730  57.728  57.726  57.724  57.722  57.720  57.718  
  57.715  57.713  57.711  57.709  57.707  57.705  57.703  57.701  57.699  57.697  
  57.696  57.694  57.692  57.690  57.688  57.686  57.684  57.682  57.680  57.678  
  57.676  57.674  57.672  57.670  57.667  57.665  57.663  57.661  57.659  57.656  
  57.654  57.652  57.649  57.647  57.644  57.641  57.639  57.636  57.633  57.630  
  57.627  57.624  57.621  57.618  57.614  57.611  57.607  57.604  57.600  57.596  
  57.592  57.588  57.584  57.579  57.575  57.570  57.566  57.561  57.556  57.551  
  57.546  57.540  57.535  57.529  57.523  57.518  57.511  57.505  57.499  57.493  
  57.486  57.479  57.473  57.466  57.459  57.451  57.444  57.437  57.429  57.421  
  57.414  57.406  57.398  57.389  57.381  57.373  57.364  57.356  57.347  57.338  
  57.330  57.320  57.312  57.302  57.293  57.284  57.275  57.266  57.256  57.247  
  57.237  57.228  57.218  57.209  57.199  57.190  57.180  57.171  57.161  57.152  
  57.142  57.133  57.123  57.114  57.105  57.095  57.086  57.077  57.068  57.059  
  57.050  57.041  57.032  57.024  57.015  57.007  56.999  56.991  56.983  56.975  
  56.967  56.960  56.952  56.945  56.938  56.931  56.924  56.917  56.911  56.905  
  56.899  56.893  56.887  56.882  56.877  56.872  56.867  56.862  56.858  56.854  
  56.850  56.846  56.843  56.840  56.837  56.834  56.832  56.830  56.828  56.826  
  56.824  56.823  56.822  56.821  56.821  56.821  56.821  56.821  56.822  56.822  
  56.823  56.825  56.826  56.828  56.830  56.832  56.835  56.838  56.841  56.844  
  56.848  56.851  56.855  56.860  56.864  56.869  56.874  56.879  56.884  56.890  
  56.896  56.902  56.908  56.915  56.922  56.928  56.936  56.943  56.950  56.958  
  56.966  56.974  56.982  56.991  57.000  57.008  57.018  57.027  57.036  57.045  
  57.055  57.065  57.074  57.084  57.095  57.105  57.115  57.126  57.136  57.147  
  57.158  57.168  57.179  57.190  57.201  57.212  57.224  57.235  57.246  57.257  
  57.269  57.280  57.291  57.303  57.314  57.325  57.336  57.348  57.359  57.370  
  57.382  57.393  57.404  57.415  57.426  57.437  57.447  57.458  57.469  57.479  
  57.490  57.500  57.510  57.520  57.530  57.540  57.550  57.559  57.569  57.578  
  57.587  57.596  57.605  57.614  57.622  57.630  57.638  57.646  57.654  57.662  
  57.669  57.676  57.683  57.690  57.696  57.703  57.709  57.715  57.721  57.726  
  57.732  57.737  57.742  57.746  57.751  57.755  57.759  57.763  57.767  57.770  
  57.774  57.777  57.780  57.783  57.785  57.788  57.790  57.792  57.794  57.795  
  57.797  57.798  57.799  57.800  57.801  57.801  57.802  57.802  57.802  57.802  
  57.802  57.802  57.802  57.801  57.801  57.800  57.799  57.798  57.797  57.796  
  57.795  57.794  57.792  57.791  57.790  57.788  57.786  57.784  57.783  57.781  
  57.779  57.777  57.775  57.773  57.771  57.769  57.767  57.765  57.763  57.761  
  57.758  57.756  57.754  57.752  57.750  57.748  57.745  57.743  57.741  57.739  
  57.716  57.709  57.703  57.697  57.692  57.688  57.686  57.683  57.682  57.682  
  57.682  57.684  57.686  57.689  57.693  57.697  57.703  57.709  57.716  57.723  
  57.732  57.741  57.750  57.761  57.772  57.783  57.796  57.808  57.821  57.835  
  57.849  57.864  57.879  57.895  57.910  57.926  57.943  57.960  57.977  57.994  
  58.011  58.028  58.046  58.063  58.081  58.098  58.115  58.132  58.150  58.166  
  58.183  58.199  58.215  58.230  58.246  58.260  58.274  58.288  58.300  58.313  
  58.324  58.335  58.345  58.354  58.362  58.370  58.376  58.381  58.385  58.389  
  58.391  58.392  58.391  58.390  58.387  58.382  58.377  58.370  58.362  58.352  
  58.341  58.329  58.315  58.299  58.282  58.264  58.244  58.222  58.199  58.175  
  58.149  58.122  58.093  58.062  58.031  57.998  57.963  57.927  57.890  57.852  
  57.812  57.771  57.729  57.686  57.642  57.597  57.550  57.504  57.456  57.407  
  57.358  57.308  57.257  57.206  57.154  57.103  57.050  56.998  56.946  56.893  
  56.840  56.788  56.735  56.683  56.631  56.579  56.528  56.477  56.426  56.377  
  56.328  56.279  56.232  56.185  56.139  56.094  56.050  56.006  55.964  55.923  
  55.883  55.844  55.807  55.770  55.735  55.701  55.668  55.636  55.606  55.577  
  55.549  55.522  55.497  55.473  55.450  55.429  55.408  55.389  55.371  55.354  
  55.339  55.324  55.311  55.298  55.287  55.277  55.268  55.260  55.253  55.247  
  55.242  55.238  55.234  55.232  55.230  55.229  55.230  55.230  55.232  55.234  
  55.238  55.241  55.246  55.251  55.257  55.264  55.272  55.280  55.288  55.298  
  55.308  55.319  55.331  55.343  55.356  55.369  55.384  55.399  55.415  55.431  
  55.448  55.466  55.485  55.505  55.525  55.546  55.569  55.592  55.615  55.640  
  55.665  55.692  55.719  55.747  55.776  55.807  55.838  55.870  55.903  55.936  
  55.971  56.007  56.044  56.082  56.121  56.160  56.201  56.242  56.285  56.328  
